number	name
78	Social Media Marketing
87	Fashion Design
87	Robotics
90	Product Management
99	Computer Graphics
102	Corporate Finance
109	Business Management
109	Electrical Engineering
123	iOS
131	Angular.js
134	Illustration
138	Marketing Strategy
141	Unix/Linux System Administrator
141	Business Development
145	Mobile Programming
147	Marketing
150	Video Production
159	Digital Marketing
167	Data Engineering
178	jQuery
183	Strategy & Business Development
191	Project Management
218	Computer Engineering
230	E-learning
240	Php
245	SEO
247	GitHub
259	Lean
269	Venture Capital
278	Graphic Design
320	Social Networking Development
355	Adobe Photoshop
384	Javascript
428	Web Development
442	CSS
465	Analytics
483	HTML
497	Product Design
614	Communication
661	Programming
1211	Entrepreneurship
